state,city,tier,accommodation_per_day,food_per_day,local_transport_per_day,activities_per_day,total_per_day,notes
Goa,Palolem,budget,1120,690,440,500,2750,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Goa,Palolem,mid-range,2380,1310,690,880,5260,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Goa,Palolem,luxury,6880,2750,1500,2000,13130,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Goa,Margao,budget,900,550,350,400,2200,
Goa,Margao,mid-range,1900,1050,550,700,4200,
Goa,Margao,luxury,5500,2200,1200,1600,10500,
Goa,Vasco da Gama,budget,900,550,350,400,2200,
Goa,Vasco da Gama,mid-range,1900,1050,550,700,4200,
Goa,Vasco da Gama,luxury,5500,2200,1200,1600,10500,
Goa,Old Goa,budget,900,550,350,400,2200,
Goa,Old Goa,mid-range,1900,1050,550,700,4200,
Goa,Old Goa,luxury,5500,2200,1200,1600,10500,
Delhi (NCT),New Delhi,budget,1120,690,440,500,2750,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Delhi (NCT),New Delhi,mid-range,2380,1310,690,880,5260,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Delhi (NCT),New Delhi,luxury,6880,2750,1500,2000,13130,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Delhi (NCT),Old Delhi,budget,900,550,350,400,2200,
Delhi (NCT),Old Delhi,mid-range,1900,1050,550,700,4200,
Delhi (NCT),Old Delhi,luxury,5500,2200,1200,1600,10500,
Delhi (NCT),Chandni Chowk,budget,900,550,350,400,2200,
Delhi (NCT),Chandni Chowk,mid-range,1900,1050,550,700,4200,
Delhi (NCT),Chandni Chowk,luxury,5500,2200,1200,1600,10500,
Delhi (NCT),Connaught Place,budget,1120,690,440,500,2750,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Delhi (NCT),Connaught Place,mid-range,2380,1310,690,880,5260,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Delhi (NCT),Connaught Place,luxury,6880,2750,1500,2000,13130,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Delhi (NCT),South Delhi (Hauz Khas),budget,1120,690,440,500,2750,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Delhi (NCT),South Delhi (Hauz Khas),mid-range,2380,1310,690,880,5260,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Delhi (NCT),South Delhi (Hauz Khas),luxury,6880,2750,1500,2000,13130,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Delhi (NCT),Dwarka,budget,740,450,290,330,1810,Smaller town — generally lower accommodation & transport costs than state capital
Delhi (NCT),Dwarka,mid-range,1560,860,450,570,3440,Smaller town — generally lower accommodation & transport costs than state capital
Delhi (NCT),Dwarka,luxury,4510,1800,980,1310,8600,Smaller town — generally lower accommodation & transport costs than state capital
Delhi (NCT),Gurugram (NCR),budget,1120,690,440,500,2750,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Delhi (NCT),Gurugram (NCR),mid-range,2380,1310,690,880,5260,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Delhi (NCT),Gurugram (NCR),luxury,6880,2750,1500,2000,13130,Popular/high-demand destination — add ~15-20% during peak season (Oct-Mar / local festivals)
Delhi (NCT),Noida (NCR),budget,740,450,290,330,1810,Smaller town — generally lower accommodation & transport costs than state capital
Delhi (NCT),Noida (NCR),mid-range,1560,860,450,570,3440,Smaller town — generally lower accommodation & transport costs than state capital
Delhi (NCT),Noida (NCR),luxury,4510,1800,980,1310,8600,Smaller town — generally lower accommodation & transport costs than state capital
Delhi (NCT),Faridabad (NCR),budget,740,450,290,330,1810,Smaller town — generally lower accommodation & transport costs than state capital
Delhi (NCT),Faridabad (NCR),mid-range,1560,860,450,570,3440,Smaller town — generally lower accommodation & transport costs than state capital
Delhi (NCT),Faridabad (NCR),luxury,4510,1800,980,1310,8600,Smaller town — generally lower accommodation & transport costs than state capital
