id,state,city,name,category,cuisine,must_try_dish,notes
R222,Himachal Pradesh,Manali,Mahesh Restaurant,Casual Dining,Himachali,Siddu,Local cuisine specialist.
R223,Himachal Pradesh,Shimla,Cafe Simla Times,Cafe,Continental,Tea and Pastries,Cafe mentioned in Places dataset.
R224,Himachal Pradesh,Shimla,Ashiana Restaurant,Casual Dining,Himachali,Madhu Aloo,Traditional restaurant.
R225,Himachal Pradesh,Shimla,Indian Coffee House,Cafe,South Indian,Dosa,Heritage cafe.
R226,Himachal Pradesh,Shimla,Beachview Restaurant,Casual Dining,Continental,Grilled Chicken,Hill station restaurant.
R227,Himachal Pradesh,Dharamshala,Tibet Kitchen,Casual Dining,Tibetan,Momos,Restaurant mentioned in Places dataset.
R228,Himachal Pradesh,Dharamshala,Lung Ta Restaurant,Casual Dining,Tibetan,Thukpa,Tibetan cuisine specialist.
R229,Himachal Pradesh,Dharamshala,Bhagsu Falls Cafe,Cafe,Continental,Pasta,Waterfall-area cafe.
R230,Himachal Pradesh,Dharamshala,McLeod Ganj Cafe,Cafe,Multi-cuisine,Coffee,Popular traveler cafe.
R231,Himachal Pradesh,Kasol,Moon Dance Cafe,Cafe,Continental,Pasta,Cafe mentioned in Places dataset.
R232,Himachal Pradesh,Kasol,Evergreen Cafe,Cafe,Continental,Pizza,Popular backpacker cafe.
R233,Himachal Pradesh,Kasol,Italian Corner,Casual Dining,Continental,Risotto,Italian specialist.
R234,Himachal Pradesh,Kasol,Rainbow Restaurant,Casual Dining,Multi-cuisine,Momos,Local favorite.
R235,Himachal Pradesh,Dalhousie,Kwality Restaurant,Casual Dining,North Indian,Chikhalwali,Restaurant mentioned in Places dataset.
R236,Himachal Pradesh,Dalhousie,Aroma Restaurant,Casual Dining,Multi-cuisine,Tandoori Chicken,Hill station eatery.
R237,Himachal Pradesh,Dalhousie,Snowdrop Cafe,Cafe,Continental,Tea and Pastries,Hill station cafe.
R238,Himachal Pradesh,Dalhousie,Palace Hotel Restaurant,Casual Dining,North Indian,Dal Makhani,Heritage restaurant.
R239,Himachal Pradesh,Kullu,Monal Restaurant,Casual Dining,Himachali,Siddu,Restaurant mentioned in Places dataset.
R240,Himachal Pradesh,Kullu,Himalayan Restaurant,Casual Dining,Himachali,Rajma Chawal,Local specialty restaurant.
R241,Himachal Pradesh,Kullu,Riverside Cafe,Cafe,Multi-cuisine,Coffee,Valley-side cafe.
R242,Himachal Pradesh,Kullu,Happy Chef Restaurant,Casual Dining,North Indian,Biryani,Popular local eatery.
R243,Himachal Pradesh,Spiti Valley,Local Spiti Homestays,Casual Dining,Tibetan,Momos,Traditional homestay meals mentioned in Places dataset.
R244,Himachal Pradesh,Spiti Valley,Kaza Hotel Restaurant,Casual Dining,Tibetan,Thukpa,Village-center restaurant.
R245,Himachal Pradesh,Spiti Valley,Spiti Kitchen,Casual Dining,Tibetan,Barley Bread,Traditional kitchen.
R246,Himachal Pradesh,Spiti Valley,Chandratal Cafe,Cafe,Tibetan,Tea,High-altitude cafe.
R247,Himachal Pradesh,Chail,Palace Restaurant Chail,Casual Dining,North Indian,Tandoori Chicken,Restaurant mentioned in Places dataset.
R248,Himachal Pradesh,Chail,Hill View Restaurant,Casual Dining,North Indian,Biryani,Highland restaurant.
R249,Himachal Pradesh,Chail,Palace Cafe,Cafe,Continental,Tea and Pastries,Palace-area cafe.
R250,Himachal Pradesh,Chail,Orchid Restaurant,Casual Dining,Multi-cuisine,Dal Makhani,Local favorite.
R251,Himachal Pradesh,Bir Billing,Garden Cafe Bir,Cafe,Continental,Pasta,Cafe mentioned in Places dataset.
R252,Himachal Pradesh,Bir Billing,Paraglider Cafe,Cafe,Continental,Coffee,Adventure sports cafe.
R253,Himachal Pradesh,Bir Billing,Bir Kitchen,Casual Dining,Himachali,Siddu,Traditional restaurant.
R254,Himachal Pradesh,Bir Billing,Billing View Restaurant,Casual Dining,North Indian,Tandoori Chicken,Paragliding-site restaurant.
R255,West Bengal,Kolkata,Peter Cat,Casual Dining,Continental,Chelo Kebab,Restaurant mentioned in Places dataset serving Calcutta's signature dish.
R256,West Bengal,Kolkata,Zaranj,Casual Dining,Mughlai,Biryani,Traditional Mughlai restaurant.
R257,West Bengal,Kolkata,Bhim Chandra Nag Mandal,Street Food,Bengali,Jalebi,Historic sweet shop.
R258,West Bengal,Kolkata,Kathleen Baker,Bakery,Bakery,Bread and Pastries,Heritage bakery.
R259,West Bengal,Darjeeling,Kunga Restaurant,Casual Dining,Tibetan,Momos,Restaurant mentioned in Places dataset.
R260,West Bengal,Darjeeling,Glenary's Restaurant,Casual Dining,Continental,Steak,Heritage restaurant and bookshop.
R261,West Bengal,Darjeeling,Potala Fresh Cafe,Cafe,Tibetan,Tea,Local Tibetan cafe.
R262,West Bengal,Darjeeling,Soniam Restaurant,Casual Dining,Tibetan,Thukpa,Tibetan cuisine.
R263,West Bengal,Digha,Local Digha Seafood Shacks,Street Food,Seafood,Grilled Fish,Beach shacks mentioned in Places dataset.
R264,West Bengal,Digha,Sonar Bangla Hotel,Casual Dining,Bengali,Fish Curry,Beach hotel restaurant.
R265,West Bengal,Digha,Sea Shell Restaurant,Casual Dining,Seafood,Tandoori Fish,Beachfront eatery.
R266,West Bengal,Digha,Digha Palace Restaurant,Casual Dining,Bengali,Luchi Alur Dom,Beach restaurant.
R267,West Bengal,Kalimpong,Kalimpong Park Restaurant,Casual Dining,Bengali,Momos,Restaurant mentioned in Places dataset.
R268,West Bengal,Kalimpong,Morgan House Restaurant,Casual Dining,Continental,Grilled Meat,Historic house restaurant.
R269,West Bengal,Kalimpong,Deki Cafe,Cafe,Tibetan,Tea,Local cafe.
R270,West Bengal,Kalimpong,Bungalow Restaurant,Casual Dining,Bengali,Biryani,Heritage bungalow restaurant.
R271,West Bengal,Siliguri,Khana Khazana Restaurant,Casual Dining,North Indian and Bengali,Biryani,Restaurant mentioned in Places dataset.
R272,West Bengal,Siliguri,Trident Restaurant,Casual Dining,Multi-cuisine,Tandoori Chicken,Hotel restaurant.
R273,West Bengal,Siliguri,Gorkha Kitchen,Casual Dining,Nepali,Momos,Local Nepali cuisine specialist.
R274,West Bengal,Siliguri,Bengal Restaurant,Casual Dining,Bengali,Fish Curry,Traditional eatery.
R275,West Bengal,Shantiniketan,Local Bengali Eateries,Casual Dining,Bengali,Luchi Sabji,Street eateries mentioned in Places dataset.
R276,West Bengal,Shantiniketan,Shantiniketan Hotel,Casual Dining,Bengali,Fish Curry,Town-center restaurant.
R277,West Bengal,Shantiniketan,Visva Cafe,Cafe,Bengali,Tea and Snacks,Campus area cafe.
R278,West Bengal,Shantiniketan,Poet's Kitchen,Casual Dining,Bengali,Biryani,Heritage restaurant.
R279,West Bengal,Murshidabad,Local Murshidabad Eateries,Casual Dining,Bengali,Biryani,Street eateries mentioned in Places dataset.
R280,West Bengal,Murshidabad,Nawab Hotel,Casual Dining,Mughlai,Biryani,Heritage Nawab-era restaurant.
R281,West Bengal,Murshidabad,Hazarduari Cafe,Cafe,Bengali,Tea,Palace-area cafe.
R282,West Bengal,Murshidabad,Silk Route Restaurant,Casual Dining,Mughlai,Kebab,Historic-area restaurant.
R283,West Bengal,Sundarbans,Local Resort Restaurants,Casual Dining,Bengali and Seafood,Fish Curry,Resort restaurants mentioned in Places dataset.
R284,West Bengal,Sundarbans,Tiger Camp Restaurant,Casual Dining,Seafood,Grilled Fish,Sundarbans lodge restaurant.
R285,West Bengal,Sundarbans,Mangrove Cafe,Cafe,Bengali,Tea and Snacks,Reserve-area cafe.
R286,West Bengal,Sundarbans,Riverside Kitchen,Casual Dining,Bengali,Luchi Biryani,Lodge restaurant.
R287,West Bengal,Mirik,Local Mirik Tea-Garden Cafes,Cafe,Tea,Tea and Snacks,Tea garden cafes mentioned in Places dataset.
R288,West Bengal,Mirik,Mirik Hotel,Casual Dining,Bengali,Fish Curry,Lake-side restaurant.
R289,West Bengal,Mirik,Tea Garden Homestay,Casual Dining,Bengali,Biryani,Homestay meals.
R290,West Bengal,Mirik,Sunrise Cafe,Cafe,Bengali,Tea and Pastries,Lake-view cafe.
R291,Punjab,Amritsar,Kesar Da Dhaba,Casual Dining,Punjabi,Butter Chicken,Restaurant mentioned in Places dataset serving Punjabi classics.
R292,Punjab,Amritsar,Bharawan Da Dhaba,Casual Dining,Punjabi,Tandoori Chicken,Traditional dhaba.
R293,Punjab,Amritsar,Crystal Restaurant,Casual Dining,Punjabi,Chole Bhature,Golden Temple area restaurant.
R294,Punjab,Amritsar,Sher-e-Punjab,Casual Dining,Punjabi,Kulcha,Local favorite.
R295,Punjab,Chandigarh,Pal Dhaba,Casual Dining,Punjabi,Butter Chicken,Restaurant mentioned in Places dataset.
R296,Punjab,Chandigarh,Sakoon Restaurant,Casual Dining,Multi-cuisine,Dal Makhani,Multi-cuisine restaurant.
R297,Punjab,Chandigarh,Sector 35 Street Food,Street Food,Punjabi,Chole Bhature,Popular street food hub.
R298,Punjab,Chandigarh,Indian Coffee House,Cafe,Punjabi,Kulcha Chole,Heritage cafe.
R299,Punjab,Ludhiana,Local Ludhiana Dhaba,Casual Dining,Punjabi,Tandoori Chicken,Street dhaba mentioned in Places dataset.
R300,Punjab,Ludhiana,Nirmal Restaurant,Casual Dining,Punjabi,Butter Chicken,Traditional restaurant.
R301,Punjab,Ludhiana,Janta Restaurant,Casual Dining,Punjabi,Chole Bhature,Popular local eatery.
R302,Punjab,Ludhiana,Rose Garden Cafe,Cafe,Multi-cuisine,Coffee,Rose garden area cafe.
R303,Punjab,Patiala,Baba Ka Dhaba,Casual Dining,Punjabi,Butter Chicken,Traditional dhaba.
R304,Punjab,Patiala,Tandoor Palace,Casual Dining,Punjabi,Tandoori Chicken,Heritage restaurant.
R305,Punjab,Patiala,Amar Hotel,Casual Dining,Punjabi,Dal Makhani,Local favorite.
R306,Punjab,Patiala,Palace Restaurant,Casual Dining,Punjabi,Kulcha,Qila-area restaurant.
R307,Punjab,Jalandhar,Local Jalandhar Eateries,Casual Dining,Punjabi,Tandoori Chicken,Street eateries mentioned in Places dataset.
R308,Punjab,Jalandhar,Radha Swami Restaurant,Casual Dining,Punjabi,Butter Chicken,Traditional restaurant.
R309,Punjab,Jalandhar,Sharma Restaurant,Casual Dining,Punjabi,Chole Bhature,Local eatery.
R310,Punjab,Jalandhar,Rama Restaurant,Casual Dining,Punjabi,Dal Makhani,Family restaurant.
R311,Punjab,Anandpur Sahib,Gurudwara Langar,Street Food,Punjabi,Langar Meal,Community kitchen mentioned in Places dataset serving free meals.
R312,Punjab,Anandpur Sahib,Anand Restaurant,Casual Dining,Punjabi,Tandoori Chicken,Town restaurant.
R313,Punjab,Anandpur Sahib,Virasat Cafe,Cafe,Punjabi,Tea,Heritage-area cafe.
R314,Punjab,Anandpur Sahib,Sikh Kitchen,Casual Dining,Punjabi,Butter Chicken,Traditional eatery.
R315,Punjab,Bathinda,Local Bathinda Dhaba,Casual Dining,Punjabi,Tandoori Chicken,Street dhaba mentioned in Places dataset.
R316,Punjab,Bathinda,Khurana Restaurant,Casual Dining,Punjabi,Butter Chicken,Traditional restaurant.
R317,Punjab,Bathinda,Qila Hotel,Casual Dining,Punjabi,Chole Bhature,Fort-area restaurant.
R318,Punjab,Bathinda,Park Restaurant,Casual Dining,Punjabi,Dal Makhani,Local favorite.
R319,Punjab,Kapurthala,Local Kapurthala Eateries,Casual Dining,Punjabi,Tandoori Chicken,Street eateries mentioned in Places dataset.
R320,Punjab,Kapurthala,Maurya Palace Restaurant,Casual Dining,Punjabi,Butter Chicken,Palace-area restaurant.
R321,Punjab,Kapurthala,Sardar Restaurant,Casual Dining,Punjabi,Chole Bhature,Traditional eatery.
R322,Punjab,Kapurthala,Shahzadi Restaurant,Casual Dining,Punjabi,Kulcha,Local favorite.
R323,Punjab,Pathankot,Local Pathankot Dhaba,Casual Dining,Punjabi,Tandoori Chicken,Street dhaba mentioned in Places dataset.
R324,Punjab,Pathankot,Railway Station Restaurant,Casual Dining,Punjabi,Butter Chicken,Station area restaurant.
R325,Punjab,Pathankot,Bagh Restaurant,Casual Dining,Punjabi,Chole Bhature,Local eatery.
R326,Punjab,Pathankot,Fateh Restaurant,Casual Dining,Punjabi,Dal Makhani,Traditional restaurant.
R327,Uttarakhand,Rishikesh,Chotiwala,Street Food,North Indian,Puris,Restaurant mentioned in Places dataset serving street food and tea.
R328,Uttarakhand,Rishikesh,Ramakrishna Restaurant,Casual Dining,North Indian,Aloo Puri,Ghat-side restaurant.
R329,Uttarakhand,Rishikesh,Bistro Nirvana,Casual Dining,Continental,Pasta,Traveler-friendly restaurant.
R330,Uttarakhand,Rishikesh,High Monkey Cafe,Cafe,Multi-cuisine,Coffee,Riverside cafe.
R331,Uttarakhand,Nainital,Sakley's Restaurant,Casual Dining,North Indian,Tandoori Chicken,Restaurant mentioned in Places dataset.
R332,Uttarakhand,Nainital,Naini Lakeside Restaurant,Casual Dining,North Indian,Dal Makhani,Lake-view restaurant.
R333,Uttarakhand,Nainital,Mall Road Cafe,Cafe,Continental,Tea and Pastries,Shopping area cafe.
R334,Uttarakhand,Nainital,Amargarh Restaurant,Casual Dining,North Indian,Biryani,Local favorite.
R335,Uttarakhand,Mussoorie,Landour Bakehouse,Bakery,Bakery and Cafe,Bread and Pastries,Bakery mentioned in Places dataset.
R336,Uttarakhand,Mussoorie,Kempinski Hotel Restaurant,Fine Dining,Continental,Grilled Fish,Luxury hotel restaurant.
R337,Uttarakhand,Mussoorie,Tavern Restaurant,Casual Dining,Continental,Tandoori Chicken,Heritage restaurant.
R338,Uttarakhand,Mussoorie,Honey Hut Cafe,Cafe,Continental,Honey Cake,Hill station favorite cafe.
R339,Uttarakhand,Haridwar,Chotiwala Haridwar,Street Food,North Indian,Puris,Ghat-side famous eatery.
R340,Uttarakhand,Haridwar,Ramakrishna Restaurant,Casual Dining,North Indian,Dal Makhani,Pilgrimage-area restaurant.
R341,Uttarakhand,Haridwar,New Ashok Restaurant,Casual Dining,North Indian,Biryani,Traditional eatery.
R342,Uttarakhand,Haridwar,Brahm Kund Cafe,Cafe,North Indian,Tea,Kund-side cafe.
R343,Uttarakhand,Dehradun,Kalsang Friends Corner,Cafe,Tibetan,Momos,Cafe mentioned in Places dataset.
R344,Uttarakhand,Dehradun,Cafe Coffee Day,Cafe,Cafe,Coffee,Modern cafe chain.
R345,Uttarakhand,Dehradun,Doon Valley Restaurant,Casual Dining,North Indian,Tandoori Chicken,Traditional restaurant.
R346,Uttarakhand,Dehradun,Chaar Dinariyan Restaurant,Casual Dining,North Indian,Dal Makhani,Heritage eatery.
R347,Uttarakhand,Auli,Local Auli Resort Restaurants,Casual Dining,North Indian,Tandoori Chicken,Resort restaurants mentioned in Places dataset.
R348,Uttarakhand,Auli,Auli Hotel Restaurant,Casual Dining,North Indian,Dal Makhani,Ski resort restaurant.
R349,Uttarakhand,Auli,Mountain View Cafe,Cafe,Continental,Tea,Resort area cafe.
R350,Uttarakhand,Auli,Larch Restaurant,Casual Dining,North Indian,Biryani,Alpine-view restaurant.
R351,Uttarakhand,Kausani,Local Kausani Eateries,Casual Dining,North Indian,Pav Bhaji,Street eateries mentioned in Places dataset.
R352,Uttarakhand,Kausani,Kausani Guest House,Casual Dining,North Indian,Dal Makhani,Guesthouse restaurant.
R353,Uttarakhand,Kausani,Himalaya View Cafe,Cafe,North Indian,Tea and Snacks,Viewpoint cafe.
R354,Uttarakhand,Kausani,Ashram Kitchen,Casual Dining,Vegetarian,Khichdi,Ashram-area restaurant.
R355,Uttarakhand,Ranikhet,Local Ranikhet Cafes,Cafe,North Indian,Tea,Cafes mentioned in Places dataset.
R356,Uttarakhand,Ranikhet,Ranikhet Hotel,Casual Dining,North Indian,Tandoori Chicken,Hill station restaurant.
R357,Uttarakhand,Ranikhet,Mall Road Cafe,Cafe,Continental,Coffee and Pastries,Shopping area cafe.
R358,Uttarakhand,Ranikhet,Pine Tree Restaurant,Casual Dining,North Indian,Dal Makhani,Traditional eatery.
R359,Uttarakhand,Ramnagar (Jim Corbett),Local Ramnagar Resort Restaurants,Casual Dining,North Indian,Tandoori Chicken,Resort restaurants mentioned in Places dataset.
R360,Uttarakhand,Ramnagar (Jim Corbett),Corbett Restaurant,Casual Dining,North Indian,Dal Makhani,Park-area restaurant.
R361,Uttarakhand,Ramnagar (Jim Corbett),Jungle Lodge Cafe,Cafe,North Indian,Tea,Lodge cafe.
R362,Uttarakhand,Ramnagar (Jim Corbett),Safari Restaurant,Casual Dining,North Indian,Biryani,Adventure-area restaurant.
R363,Goa,Panaji,Viva Panjim,Casual Dining,Goan,Goan Fish Curry,Restaurant mentioned in Places dataset serving authentic Goan cuisine.
R364,Goa,Panaji,Cafe Bodega,Casual Dining,Goan,Feijoada,Portuguese-Goan restaurant.
R365,Goa,Panaji,Mum Mia,Casual Dining,Continental,Pizza,Modern casual restaurant.
R366,Goa,Panaji,Lakeside Restaurant,Casual Dining,Goan,Prawn Koliwada,River-view eatery.
R367,Goa,Calangute,Souza Lobo,Casual Dining,Goan,Fish Curry,Restaurant mentioned in Places dataset serving Goan seafood.
R368,Goa,Calangute,Bacchanal Restaurant,Casual Dining,Continental,Grilled Fish,Beach restaurant.
R369,Goa,Calangute,Plantain Leaf,Casual Dining,Goan,Prawn Biryani,Traditional Goan eatery.
R370,Goa,Calangute,Thalassa Restaurant,Casual Dining,Seafood,Grilled Lobster,Mediterranean seafood specialist.
R371,Goa,Baga,Britto's,Casual Dining,Goan,Fish Fry,Restaurant mentioned in Places dataset serving beach food.
R372,Goa,Baga,Baga Beachside Shack,Casual Dining,Seafood,Grilled Prawns,Beachfront casual eatery.
R373,Goa,Baga,Fiesta Restaurant,Casual Dining,Continental,Pasta,Hill-top restaurant.
R374,Goa,Baga,Bamboleo Restaurant,Casual Dining,Goan,Sorpotel,Traditional Goan restaurant.
R375,Goa,Anjuna,Curlies Beach Shack,Casual Dining,Goan,Fish Curry,Restaurant mentioned in Places dataset.
R376,Goa,Anjuna,German Bakery,Bakery and Cafe,Continental,Bread and Pastries,Famous bakery-cafe.
R377,Goa,Anjuna,Manali Restaurant,Casual Dining,Goan,Crab Masala,Traditional eatery.
R378,Goa,Anjuna,Anjuna Spice,Casual Dining,Goan,Prawn Koliwada,Local favorite.
R379,Goa,Candolim,Bomra's Restaurant,Casual Dining,Goan Fusion,Goan Fish Curry,Restaurant mentioned in Places dataset.
R380,Goa,Candolim,Fort Aguada Restaurant,Casual Dining,Seafood,Tandoori Fish,Fort-view restaurant.
R381,Goa,Candolim,O Pedro,Casual Dining,Goan,Sorpotel,Traditional Goan specialist.
R382,Goa,Candolim,Xavier's Restaurant,Fine Dining,Goan,Fish Koliwada,Heritage fine-dining restaurant.
R383,Goa,Palolem,Ourem 88,Casual Dining,Goan,Fish Curry,Restaurant mentioned in Places dataset serving coastal cuisine.
R384,Goa,Palolem,Palolem Beach Shack,Casual Dining,Seafood,Grilled Fish,Beachfront eatery.
R385,Goa,Palolem,Sublime Restaurant,Casual Dining,Continental,Pizza,Traveler-friendly restaurant.
R386,Goa,Palolem,Pappi Olive Shack,Casual Dining,Goan,Prawn Biryani,Beach shack.
R387,Goa,Margao,Longuinhos Restaurant,Casual Dining,Goan,Fish Curry,Restaurant mentioned in Places dataset serving Goan classics.
R388,Goa,Margao,Hotel Nanu,Casual Dining,Goan,Tandoori Fish,Traditional hotel-restaurant.
R389,Goa,Margao,Café Coffee Day,Cafe,Cafe,Coffee,Modern cafe chain.
R390,Goa,Margao,Municipal Market Eatery,Street Food,Goan,Crab Masala,Street-side market stall.
R391,Goa,Vasco da Gama,Bogmalo Beach Shack,Casual Dining,Seafood,Grilled Fish,Beach restaurant.
R392,Goa,Vasco da Gama,Naval Base Restaurant,Casual Dining,Goan,Fish Curry,Military-area restaurant.
R393,Goa,Vasco da Gama,Dunes Restaurant,Casual Dining,Goan,Prawn Koliwada,Beach-view restaurant.
R394,Goa,Vasco da Gama,Local Vasco Seafood Joint,Street Food,Seafood,Crab Fry,Market-area street stall.
R395,Goa,Old Goa,Old Goa Cafe,Cafe,Goan,Tea and Snacks,Heritage-area cafe mentioned in Places dataset.
R396,Goa,Old Goa,Heritage Restaurant,Casual Dining,Goan,Fish Curry,Historic-area restaurant.
R397,Goa,Old Goa,Basilica Cafe,Cafe,Goan,Coffee,Basilica-adjacent cafe.
R398,Goa,Old Goa,Convent Kitchen,Casual Dining,Goan,Sorpotel,Heritage convent restaurant.
R399,Delhi (NCT),New Delhi,Indian Accent,Fine Dining,Indian Fusion,Tandoori Chicken,Restaurant mentioned in Places dataset serving modern Indian cuisine.
R400,Delhi (NCT),New Delhi,Dum Pukht,Fine Dining,Mughlai,Biryani,Luxury restaurant serving Awadhi specialties.
R401,Delhi (NCT),New Delhi,Dhaba by Claridges,Casual Dining,North Indian,Butter Chicken,Upscale dhaba experience.
R402,Delhi (NCT),New Delhi,Khan Market Eateries,Casual Dining,North Indian,Tandoori Chicken,Market-area restaurants.
R403,Delhi (NCT),Old Delhi,Karim's,Casual Dining,Mughlai,Biryani,Restaurant mentioned in Places dataset serving Mughlai classics.
R404,Delhi (NCT),Old Delhi,Al Jawahar,Casual Dining,Mughlai,Tandoori Chicken,Historic Old Delhi restaurant.
R405,Delhi (NCT),Old Delhi,Gali Paranthe Wali,Street Food,North Indian,Parantha,Famous alley of parantha shops.
R406,Delhi (NCT),Old Delhi,Jama Masjid Chaat Stall,Street Food,North Indian,Chaat,Near-mosque street stall.
R407,Delhi (NCT),Chandni Chowk,Paranthe Wali Gali,Street Food,North Indian,Parantha,Chandni Chowk mentioned in Places dataset.
R408,Delhi (NCT),Chandni Chowk,Haldiram's,Casual Dining,Indian Sweets,Kachori,Sweets and snacks chain.
R409,Delhi (NCT),Chandni Chowk,Natraj Restaurant,Casual Dining,North Indian,Tandoori Chicken,Market-area restaurant.
R410,Delhi (NCT),Chandni Chowk,Chaat Wali Gali,Street Food,North Indian,Chaat,Street food alley.
R411,Delhi (NCT),Connaught Place,United Coffee House,Casual Dining,Continental,Chelo Kebab,Restaurant mentioned in Places dataset.
R412,Delhi (NCT),Connaught Place,Barista,Cafe,Cafe,Coffee,Modern cafe chain.
R413,Delhi (NCT),Connaught Place,Naan Restaurant,Casual Dining,North Indian,Butter Chicken,CP mall restaurant.
R414,Delhi (NCT),Connaught Place,Indian Coffee House,Cafe,Indian,Filter Coffee,Heritage cafe.
R415,Delhi (NCT),South Delhi (Hauz Khas),Diggin Cafe,Cafe,Continental,Pasta,Cafe mentioned in Places dataset.
R416,Delhi (NCT),South Delhi (Hauz Khas),Village Cafe,Cafe,Continental,Pizza,Village restaurant.
R417,Delhi (NCT),South Delhi (Hauz Khas),Farzi Cafe,Casual Dining,Indian Fusion,Tandoori Chicken,Modern fusion restaurant.
R418,Delhi (NCT),South Delhi (Hauz Khas),Hauz Khas Restaurant,Casual Dining,North Indian,Dal Makhani,Heritage restaurant.
R419,Delhi (NCT),Dwarka,Local Dwarka Eateries,Casual Dining,North Indian,Tandoori Chicken,Street eateries mentioned in Places dataset.
R420,Delhi (NCT),Dwarka,Dwarka Hotel,Casual Dining,North Indian,Butter Chicken,Sector restaurant.
R421,Delhi (NCT),Dwarka,Sector 10 Cafe,Cafe,North Indian,Tea,Sector-area cafe.
R422,Delhi (NCT),Dwarka,Radha Krishna Restaurant,Casual Dining,North Indian,Dal Makhani,Local favorite.
R423,Delhi (NCT),Gurugram (NCR),Cyber Hub Restaurants,Casual Dining,Multi-cuisine,Tandoori Chicken,Restaurants mentioned in Places dataset.
R424,Delhi (NCT),Gurugram (NCR),Altitude Restaurant,Fine Dining,Continental,Grilled Fish,Luxury restaurant.
R425,Delhi (NCT),Gurugram (NCR),Social Restaurant,Casual Dining,Multi-cuisine,Pasta,Modern casual dining.
R426,Delhi (NCT),Gurugram (NCR),Kingdom Restaurant,Casual Dining,North Indian,Butter Chicken,Mall restaurant.
R427,Delhi (NCT),Noida (NCR),Local Noida Sector Markets,Street Food,North Indian,Tandoori Chicken,Market eateries mentioned in Places dataset.
R428,Delhi (NCT),Noida (NCR),Sector 18 Mall Restaurants,Casual Dining,Multi-cuisine,Biryani,Mall restaurants.
R429,Delhi (NCT),Noida (NCR),Noida Hotel,Casual Dining,North Indian,Butter Chicken,Sector restaurant.
R430,Delhi (NCT),Noida (NCR),Sharma Restaurant,Casual Dining,North Indian,Dal Makhani,Local favorite.
R431,Delhi (NCT),Faridabad (NCR),Local Faridabad Eateries,Casual Dining,North Indian,Tandoori Chicken,Street eateries mentioned in Places dataset.
R432,Delhi (NCT),Faridabad (NCR),Surajkund Restaurant,Casual Dining,North Indian,Butter Chicken,Town restaurant.
R433,Delhi (NCT),Faridabad (NCR),Railway Station Eatery,Casual Dining,North Indian,Dal Makhani,Station-area restaurant.
R434,Delhi (NCT),Faridabad (NCR),Sharma Dhaba,Casual Dining,North Indian,Chole Bhature,Local dhaba.
